dataelement,shortname,code,dataelementuid,dataelementdesc
"VMMC_CIRC (N, DSD, HIVStatus): Voluntary Circumcised","VMMC_CIRC (N, DSD, HIVStatus)",VMMC_CIRC_N_DSD_HIVStatus,mymnc4IZT9O,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, DSD, TechFollowUp): Voluntary Circumcised","VMMC_CIRC (N, DSD, TechFollowUp)",VMMC_CIRC_N_DSD_TechFollowUp,cObJTp3DWdY,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, DSD, Technique): Voluntary Circumcised","VMMC_CIRC (N, DSD, Technique)",VMMC_CIRC_N_DSD_Technique,UossaY2RAd4,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, DSD): Voluntary Circumcised","VMMC_CIRC (N, DSD)",VMMC_CIRC_N_DSD,qeS0bazg6IW,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, TA, Age) v2: Voluntary Circumcised","VMMC_CIRC (N, TA, Age) v2",VMMC_CIRC_N_TA_Age_v2,qCoKS6UrNF0,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, TA, HIVStatus): Voluntary Circumcised","VMMC_CIRC (N, TA, HIVStatus)",VMMC_CIRC_N_TA_HIVStatus,eab8ObZpMvb,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, TA, TechFollowUp): Voluntary Circumcised","VMMC_CIRC (N, TA, TechFollowUp)",VMMC_CIRC_N_TA_TechFollowUp,oIOtyrMpzGE,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, TA, Technique): Voluntary Circumcised","VMMC_CIRC (N, TA, Technique)",VMMC_CIRC_N_TA_Technique,io1hfUu6Hbf,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"VMMC_CIRC (N, TA): Voluntary Circumcised","VMMC_CIRC (N, TA)",VMMC_CIRC_N_TA,myiCwzqRxSt,"Number of males circumcised as part of the voluntary medical male circumcision (VMMC) for HIV prevention program within the reporting period."
"DIAGNOSED_NAT (N, NAT_JUSTIFICATION): HIV Known Status","DIAGNOSED_NAT (N, NAT_JUSTIFICATION)",DIAGNOSED_NAT_N_NAT_JUSTIFICATION,DuHErbNxlj8,"Number of people living with HIV who know their status"
"DIAGNOSED_NAT (N, NAT_SOURCE): HIV Known Status","DIAGNOSED_NAT (N, NAT_SOURCE)",DIAGNOSED_NAT_N_NAT_SOURCE,jXKCOKeZsMR,"Number of people living with HIV who know their status"
"EMR_SITE (N, NoApp_NARRATIVE): HIVTestingServices","EMR_SITE (N, NoApp_NARRATIVE)",EMR_SITE_N_NoApp_NARRATIVE,T8lqmZhVwib,"Do the following service delivery points supported by your organization have an electronic medical record?"
"FPINT_SITE (N, NoApp_NARRATIVE): Providing voluntary FPS","FPINT_SITE (N, NoApp_NARRATIVE)",FPINT_SITE_N_NoApp_NARRATIVE,U0vgOuqBTZ0,"Number of service delivery points supported by PEPFAR that are providing fully integrated voluntary family planning services"
"GEND_GBV (N, DSD_NARRATIVE): GBV Care","GEND_GBV (N, DSD NARRATIVE)",GEND_GBV_N_DSD_NARRATIVE,EsqYPXrhrFB,"Number of people receiving post-GBV care"
"GEND_GBV (N, TA_NARRATIVE): GBV Care","GEND_GBV (N, TA_NARRATIVE)",GEND_GBV_N_TA_NARRATIVE,YGaA23XMrVN,"Number of people receiving post-GBV care"
"HRH_CURR (N, DSD_NARRATIVE): Health Workers","HRH_CURR (N, DSD_NARRATIVE)",HRH_CURR_N_DSD_NARRATIVE_CadreCategory,XJyttYocAfx,"Total number of health care workers working in HIV service delivery at PEPFAR-supported clinical facility sites. Total will auto-calculate from the Cadre Disaggregates."
"HRH_PRE (N, NoApp_NARRATIVE): Graduates by Cadre","HRH_PRE (N, NoApp_NARRATIVE)",HRH_PRE_N_NoApp_NARRATIVE,h1lqZhFcdk9,"Number of new health workers who graduated from a pre-service training institution or program as a result of PEPFAR-supported strengthening efforts, within the reporting period, by select cadre"
"HRH_STAFF (N, NoApp_NARRATIVE): Health Workers","HRH_STAFF (N, NoApp_NARRATIVE)",HRH_STAFF_N_NoApp_NARRATIVE,HIItkEzwIkc,"Total numer of health care workers working in HIV service delivery at PEPFAR-supported clinical facility sites."
"HTS_TST (N, DSD_NARRATIVE): HTS received results","HTS_TST (N, DSD NARRATIVE)",HTC_TST_N_DSD_NARRATIVE,NojQhMhlNr1,"Number of individuals who received HTC services and received their test results during the PEPFAR reporting period."
"HTS_TST (N, TA_NARRATIVE): HTS received results","HTS_TST (N, TA NARRATIVE)",HTC_TST_N_TA_NARRATIVE,qSGw5MTLMu0,"Number of individuals who received HTC services and received their test results during the PEPFAR reporting period."
"INVS_COMD (N, NoApp_NARRATIVE): HIV Commodities","INVS_COMD (N, NoApp_NARRATIVE)",INVS_COMD_N_NoApp_NARRATIVE,NL1RAVbGftm,"Number of HIV program related commodities purchased in the last 12 months"
"KP_MAT_NAT (N, NAT_JUSTIFICATION): PWID on MAT","KP_MAT_NAT (N, NAT_JUSTIFICATION)",KP_MAT_N_NAT_JUSTIFICATION,C69dgjR70gJ,"Number of people who inject drugs (PWID) on MAT"
"KP_MAT_NAT (N, NAT_SOURCE): PWID on MAT","KP_MAT_NAT (N, NAT_SOURCE)",KP_MAT_N_NAT_SOURCE,gpGRHAMJeHV,"Number of people who inject drugs (PWID) on MAT"
"KP_MAT (N, DSD_NARRATIVE): PWID on MAT","KP_MAT (N, DSD NARRATIVE)",KP_MAT_N_DSD_NARRATIVE,ex6eAUl6GzQ,"Number of people who inject drugs (PWID) who are receiving medication assisted therapy (MAT)."
"KP_MAT (N, TA_NARRATIVE): PWID on MAT","KP_MAT (N, TA_NARRATIVE)",KP_MAT_N_TA_NARRATIVE,sqkTC98ZUZY,"Number of people who inject drugs (PWID) who are receiving medication assisted therapy (MAT)."
"KP_PREV (N, DSD_NARRATIVE): Key Pop Preventive","KP_PREV (N, DSD NARRATIVE)",KP_PREV_N_DSD_NARRATIVE,bt46nTPTQBL,"Number of key populations reached with individual and/or small group level preventive interventions that are based on evidence and/or meet the minimum standards required"
"KP_PREV (N, TA_NARRATIVE): Key Pop Preventive","KP_PREV (N, TA NARRATIVE)",KP_PREV_N_TA_NARRATIVE,CC9lo9sZjyl,"Number of key populations reached with individual and/or small group level preventive interventions that are based on evidence and/or meet the minimum standards required"
"LAB_PTCQI (N, NoApp_NARRATIVE): LabSurvey","LAB_PTCQI (N, NoApp_NARRATIVE)",LAB_PTCQI_N_NoApp_NARRATIVE,X4DAPtMbi0S,Accreditation
"MER_OU (N, DSD_NARRATIVE)","MER_OU (N, DSD_NARRATIVE)",MER_OU_N_DSD_NARRATIVE,PBUqI3WuIbG,
"OVC_HIVSTAT (N, DSD_NARRATIVE):","OVC_HIVSTAT (N, DSD_NARRATIVE)",OVC_HIVSTAT_N_DSD_NARRATIVE,g7ul7rxoRM8,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_HIVSTAT (N, TA_NARRATIVE):","OVC_HIVSTAT (N, TA_NARRATIVE)",OVC_HIVSTAT_N_TA_NARRATIVE,NAoTY9iRJvD,"Number of OVC with HIV status reported to implementing partner (including status not reported)."
"OVC_SERV (N, DSD_NARRATIVE): Beneficiaries Served","OVC_SERV (N, DSD NARRATIVE)",OVC_SERV_N_DSD_NARRATIVE,NQVaE97nszA,"Number of active beneficiaries served by PEPFAR programs for children and families affected by HIV/AIDS."
"OVC_SERV (N, TA_NARRATIVE): Beneficiaries Served","OVC_SERV (N, TA NARRATIVE)",OVC_SERV_N_TA_NARRATIVE,ugtQ8oTUjgO,"Number of active beneficiaries served by PEPFAR programs for children and families affected by HIV/AIDS."
"PMTCT_ARV_NAT (N, NAT_JUSTIFICATION): ARVs","PMTCT_ARV_NAT (N, NAT_JUSTIFICATION)",PMTCT_ARV_N_NAT_JUSTIFICATION,BdsGxALDp50,"Number of HIV-positive pregnant women who received antiretrovirals to reduce risk of mother-to-child-transmission"
"PMTCT_ARV_NAT (N, NAT_SOURCE): ARVs","PMTCT_ARV_NAT (N, NAT_SOURCE)",PMTCT_ARV_N_NAT_SOURCE,MaVWcd4hrcn,"Number of HIV-positive pregnant women who received antiretrovirals to reduce risk of mother-to-child-transmission"
"PMTCT_ARV (N, DSD_NARRATIVE): ARVs","PMTCT_ARV (N, DSD NARRATIVE)",PMTCT_ARV_N_DSD_NARRATIVE,uhJjqcYppn9,"Number of HIV-positive pregnant women who received ART to reduce risk of mother-to-child-transmission during pregnancy."
"PMTCT_ARV (N, TA_NARRATIVE): ARVs","PMTCT_ARV (N, TA NARRATIVE)",PMTCT_ARV_N_TA_NARRATIVE,IXLoHy08ab5,"Number of HIV-positive pregnant women who received ART to reduce risk of mother-to-child-transmission during pregnancy."
"PMTCT_EID (N, DSD_NARRATIVE): Infant Testing","PMTCT_EID (N, DSD NARRATIVE)",PMTCT_EID_N_DSD_NARRATIVE,xK8FRowHWuo,"Number of infants who had a virologic HIV test within 12 months of birth during the reporting period."
"PMTCT_EID (N, TA_NARRATIVE): Infant Testing","PMTCT_EID (N, TA NARRATIVE)",PMTCT_EID_N_TA_NARRATIVE,acSAmCbEofz,"Number of infants who had a virologic HIV test within 12 months of birth during the reporting period."
"PMTCT_FO (N, DSD_NARRATIVE): Final Outcomes Exposed Infants","PMTCT_FO (N, DSD_NARRATIVE)",PMTCT_FO_N_DSD_NARRATIVE,wgpgPAAFsZm,"Number of HIV-exposed infants with a documented outcome by 18 months of age disaggregated by outcome type."
"PMTCT_FO (N, TA_NARRATIVE): Final Outcomes Exposed Infants","PMTCT_FO (N, TA_NARRATIVE)",PMTCT_FO_N_TA_NARRATIVE,FNFPRTrkzKa,"Number of HIV-exposed infants with a documented outcome by 18 months of age disaggregated by outcome type."
"PMTCT_STAT_NAT (N, NAT_JUSTIFICATION): Known Results","PMTCT_STAT_NAT (N, NAT_JUSTIFICATION)",PMTCT_STAT_N_NAT_JUSTIFICATION,U1xYsN8orjv,"Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services."
"PMTCT_STAT_NAT (N, NAT_SOURCE): Known Results","PMTCT_STAT_NAT (N, NAT_SOURCE)",PMTCT_STAT_N_NAT_SOURCE,DJ0OT404DbA,"Number of pregnant women who were tested for HIV and know their results plus number of pregnant women with known HIV status at entry to services."
"PMTCT_STAT (N, DSD_NARRATIVE): Known Results","PMTCT_STAT (N, DSD NARRATIVE)",PMTCT_STAT_N_DSD_NARRATIVE,PbzlDpo6Nqm,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PMTCT_STAT (N, TA_NARRATIVE): Known Results","PMTCT_STAT (N, TA NARRATIVE)",PMTCT_STAT_N_TA_NARRATIVE,EaiyFkPh5Lw,"Number of pregnant women with known HIV status (includes those who already knew their HIV status prior to ANC)"
"PP_PREV (N, DSD_NARRATIVE): HIV Prevention Program","PP_PREV (N, DSD NARRATIVE)",GPY_PREV_N_DSD_NARRATIVE,saxOfAUSLQI,"Number of each priority population who completed a standardized HIV prevention program including the specified minimum components during the reporting period"
"PP_PREV (N, TA_NARRATIVE): HIV Prevention Program","PP_PREV (N, TA NARRATIVE)",GPY_PREV_N_TA_NARRATIVE,ZxzVHfKLIxF,"Number of each priority population who completed a standardized HIV prevention program including the specified minimum components during the reporting period"
"PrEP_NEW (N, DSD_NARRATIVE)","PrEP_NEW (N, DSD_NARRATIVE)",PrEP_NEW_N_DSD_NARRATIVE,Z0z4smSdCtO,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"PrEP_NEW (N, TA_NARRATIVE)","PrEP_NEW (N, TA_NARRATIVE)",PrEP_NEW_N_TA_NARRATIVE,YHn9gXE57PE,"Number of individuals who have been newly enrolled on antiretroviral pre-exposure prophylaxis (PrEP) in the reporting period to prevent HIV infection"
"SC_STOCK (N, DSD_NARRATIVE): Between Min-Max","SC_STOCK (N, DSD_NARRATIVE)",SC_STOCK_N_DSD_NARRATIVE,SKg8eZtdaQE,"Number of stock status observations for one or more tracer commodities that are between the designed minimum and maximum quantities/months of stock from storage sites at a given level"
"SC_STOCK (N, TA_NARRATIVE): Between Min-Max","SC_STOCK (N, TA_NARRATIVE)",SC_STOCK_N_TA_NARRATIVE,As0948DMuLS,"Number of stock status observations for one or more tracer commodities that are between the designed minimum and maximum quantities/months of stock from storage sites at a given level"
"TB_ART (N, DSD_NARRATIVE): TB/HIV on ART","TB_ART (N, DSD_NARRATIVE)",TB_ART_N_DSD_NARRATIVE,B0uV7upkFAa,"Number of TB cases with documented HIV-positive status who start or continue ART during the reporting period."
"TB_ART (N, TA_NARRATIVE): TB/HIV on ART","TB_ART (N, TA_NARRATIVE)",TB_ART_N_TA_NARRATIVE,NPf6yerWbum,"Number of TB cases with documented HIV-positive status who start or continue ART during the reporting period."
"TB_PREV (N, DSD_NARRATIVE): IPT","TB_PREV (N, DSD_NARRATIVE)",TB_PREV_N_DSD_NARRATIVE,QNKcsBg0QT3,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_PREV (N, TA_NARRATIVE): IPT","TB_PREV (N, TA_NARRATIVE)",TB_PREV_N_TA_NARRATIVE,YA2gScalJLZ,"Number of ART patients who completed a course of TB preventive therapy during the reporting period (for continuous IPT programs, this includes the patients who have completed the first 6 months of isoniazid preventive therapy (IPT))"
"TB_STAT (N, DSD_NARRATIVE): New/Relapsed TB with HIV","TB_STAT (N, DSD_NARRATIVE)",TB_STAT_N_DSD_NARRATIVE,xpD4rLojvp3,"Number of registered new and relapsed TB cases with documented HIV status, during the reporting period."
"TB_STAT (N, TA_NARRATIVE): New/Relapsed TB with HIV","TB_STAT (N, TA_NARRATIVE)",TB_STAT_N_TA_NARRATIVE,ZJxIpL73lHA,"Number of registered new and relapsed TB cases with documented HIV status, during the reporting period."
"TX_CURR_NAT (N, NAT_JUSTIFICATION): Receiving ART","TX_CURR_NAT (N, NAT_JUSTIFICATION)",TX_CURR_N_NAT_JUSTIFICATION,Pv84QqOdUp9,"Number of adults and children who are currently receiving ART in accordance with the nationally approved treatment protocol (or WHO/UNAIDS standards) at the end of the reporting period"
"TX_CURR_NAT (N, NAT_SOURCE): Receiving ART","TX_CURR_NAT (N, NAT_SOURCE)",TX_CURR_N_NAT_SOURCE,yQYeoobPoEX,"Number of adults and children who are currently receiving ART in accordance with the nationally approved treatment protocol (or WHO/UNAIDS standards) at the end of the reporting period"
"TX_CURR (N, DSD_NARRATIVE): Receiving ART","TX_CURR (N, DSD NARRATIVE)",TX_CURR_N_DSD_NARRATIVE,g2s6jffBGVo,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_CURR (N, TA_NARRATIVE): Receiving ART","TX_CURR (N, TA NARRATIVE)",TX_CURR_N_TA_NARRATIVE,XNGegkN06Hg,"Number of adults and children currently receiving antiretroviral therapy (ART)"
"TX_NEW (N, DSD_NARRATIVE): New on ART","TX_NEW (N, DSD NARRATIVE)",TX_NEW_N_DSD_NARRATIVE,vEAQud3la1j,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_NEW (N, TA_NARRATIVE): New on ART","TX_NEW (N, TA NARRATIVE)",TX_NEW_N_TA_NARRATIVE,ygw0mTq5ghj,"Number of adults and children newly enrolled on antiretroviral therapy (ART)"
"TX_PVLS (N, DSD_NARRATIVE): 12 Months Viral Load < 1000","TX_PVLS (N, DSD_NARRATIVE)",TX_PVLS_N_DSD_NARRATIVE,xhQ5DYdoEtm,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_PVLS (N, TA_NARRATIVE): 12 Months Viral Load < 1000","TX_PVLS (N, TA_NARRATIVE)",TX_PVLS_N_TA_NARRATIVE,Kso2fsfhGG8,"Number of adults and pediatric patients on ART with suppressed viral load results (<1,000 copies/ml) documented in the medical records and/or supporting laboratory results within the past 12 months."
"TX_RET (N, DSD_NARRATIVE): Alive at 12 mo. after initiating ART","TX_RET (N, DSD NARRATIVE)",TX_RET_N_DSD_NARRATIVE,jzG5uXvzj4j,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_RET (N, TA_NARRATIVE): Alive at 12 mo. after initiating ART","TX_RET (N, TA NARRATIVE)",TX_RET_N_TA_NARRATIVE,Noextsqncku,"Number of adults and children who are still alive and on treatment at 12, 24, and 36 months after initiating ART"
"TX_TB (N, DSD_NARRATIVE): TB Screening","TX_TB (N, DSD_NARRATIVE)",TX_TB_N_DSD_NARRATIVE,CAG5cD4OdyD,"Number of ART patients who were started on TB treatment during the reporting period"
"TX_TB (N, TA_NARRATIVE): TB Screening","TX_TB (N, TA_NARRATIVE)",TX_TB_N_TA_NARRATIVE,yO4KTgQz6Yg,"Number of ART patients who were started on TB treatment during the reporting period"
"VL_SUPPRESSION_NAT (N, NAT_JUSTIFICATION): Suppressed Viral Load","VL_SUPPRESSION_NAT (N, NAT_JUSTIFICATION)",VL_SUPPRESSION_NAT_N_NAT_JUSTIFICATION,PqJI7bYcgY4,"Number of adults and children receiving antiretroviral therapy in the reporting period with suppressed viral load (i.e. <=1000 copies)"
